,Nama Penjual,Nama Produk,Harga,Lokasi penjual,Jumlah terjual,Rating
198,Jaya Mandiri Snack,Krupuk Seblak Bantat Cikur 500gr,Rp16.500,Kab. Bandung,6 terjual,5.0
199,Storio Store,Kerupuk Krupuk Seblak Putih Kering Pedas Oleh Oleh Bandung Odjolali,Rp10.500,Tangerang Selatan,30+ terjual,4.5
200,Aliya28,"Siomay Renyah/kriuk (250gr). Camilan enak renyah, baso aci seblak dll",Rp8.999,Tangerang Selatan,3 terjual,5.0
201,AUFARO SNACK,KERUPUK SEBLAK PEDAS KRIUK 100 GRAM,Rp7.500,Kab. Bandung Barat,4 terjual,5.0
202,aghniya,aneka kerupuk mix untuk bahan seblak 500 gr,Rp14.999,Tangerang Selatan,100+ terjual,5.0
203,Retno Snack,KERUPUK SEBLAK KENCUR PEDAS BANTAT GURIH KERING RENYAH ENAK 250 GRAM,Rp11.400,Kab. Sidoarjo,3 terjual,5.0
204,Distributor Cuanki dan Seblak,GRATIS KARDUS CUANKI MIX MURAH - BISA COD - TOPING SEBLAK - BASO ACI,Rp30.000,Kab. Bekasi,50+ terjual,4.9
205,Muysproduct,seblak instan mie bakso om brewok,Rp16.000,Kab. Bogor,5 terjual,5.0
206,Pisang Goreng Madu Bu Nanik,Keripik Singkong Balado Christine Hakim,Rp36.000,Jakarta Barat,2rb+ terjual,4.9
207,Foodstocks,Baso Aci Bapper Tulang Rangu Original Asli Bandung 220gr,Rp25.800,Jakarta Selatan,1rb+ terjual,5.0
208,TOKO BILQIS OFFICIAL STORE,Siomay Kering / Siomay Mini Toping Baso Aci Seblak - 250gram,Rp8.000,Kab. Jombang,30+ terjual,4.5
209,HAFFEMH SHOP,Fck Factory Makanan Cup Instan Seblak Jamur 90 gr,Rp13.500,Jakarta Utara,2 terjual,5.0
210,Lakoca Official Shop,Lakoca Cuanki Instan Xtra Pedas - 3 Menit Siap Santap!,Rp16.618,Cimahi,500+ terjual,4.8
211,Kunyahhfood,Kerupuk Seblak Kering Pedas Aroma Daun Jeruk Murah Enak Terlaris 250 g,Rp15.999,Kab. Bogor,17 terjual,5.0
212,SuperSnacksShop,KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg BELIMBING PUTIH,Rp21.750,Kab. Bandung,7 terjual,5.0
213,kylafood,Kylafood Basreng pedas kemasan isi 5 pcs,Rp63.940,Bandung,50+ terjual,4.9
214,kurniaisnain003,- SEBLAK BASRENG KOIN PEDAS DAUN JERUK 100gr/250gr/500gr/1kg #,Rp52.000,Bandung,12 terjual,5.0
215,Astar Food,SIOMAY SIOMAI KERING SEBLAK SOMAI MINI 250 GR,Rp7.200,Bandung,250+ terjual,4.8
216,Tiga putri77,kerupuk seblak kering pedas seblak kemplang Bandung,Rp5.000,Kab. Bandung,250+ terjual,4.9
217,ADDARSNACK,kerupuk seblak Rafael 100g,Rp6.000,Kab. Cianjur,15 terjual,4.8
218,febi mulyana,cuanki lidah kerupuk cuanky topping baso aci seblak isi 150 pcs,Rp54.000,Jakarta Selatan,4 terjual,5.0
219,5Fingers,Seblak Basah Mommy/Camilan/Kerupuk/Snack/Cepat Saji/Siap Saji/Instant,Rp13.000,Tangerang Selatan,7 terjual,5.0
220,Botak baso aci,cuanki lidah 500 pcs / 1 ball topping baso aci / seblak / mie instan,Rp180.000,Jakarta Barat,7 terjual,5.0
221,BerkahJayaagensnack,Kerupuk seblak rafael - 1/4 kg,Rp15.000,Pontianak,3 terjual,5.0
222,Jajanan Hits (JS),seblak jadul Samiraos  sambel Hedjo,Rp18.750,Tangerang Selatan,10 terjual,5.0
223,Vandiva Kuliner,SEBLAK INSTAN KOMPLIT,Rp7.500,Kab. Malang,9 terjual,5.0
224,Merbabu Food,MURIA SEBLAK STICK CABE MERAH 60G x 2Pcs (Bisa Same Day Delivery),Rp10.200,Tangerang Selatan,1 terjual,5.0
225,iwan resistans leather,"Seblak kuah instan , Seblak khas garut a",Rp6.000,Kab. Garut,19 terjual,4.5
226,segilapan,Seblak NENE Instan - PEDAS GURIH MANTAP,Rp15.000,Jakarta Barat,40+ terjual,5.0
227,Lemari Wanita,Seblak Jadoel Sambel Hedjo Samiraos | Seblak Instan Pedas Murah,Rp18.500,Jakarta Timur,4 terjual,5.0
228,Juhalim Store,seblak kerupuk bantet pedas-kerupuk bantet wana-seblak pedas-seblak,Rp15.000,Kab. Garut,40+ terjual,5.0
229,Bintang Snack & Camilan,kerupuk seblak pedas 1 kg - 1/2 kg,Rp26.500,Semarang,100+ terjual,5.0
230,Pusat Cuankie & Cemilan Frozen,CUANKIE SIOMAY ISI 100 TOPPING BASO ACI / SEBLAK,Rp35.000,Jakarta Timur,3 terjual,5.0
231,tumpah rejeki,250 gr kerupuk seblak aroma kencur pedas,Rp15.000,Surabaya,24 terjual,4.8
232,Odjolali Snack,Seblak Ring Pedas Odjolali Snack ukuran BESAR,Rp12.000,Bandung,100+ terjual,5.0
233,nayismail,paket seblak instan 12bks paket usaha seblak instan 12pcs paket seblak,Rp38.999,Cimahi,2 terjual,5.0
